gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
Itgb2	5.161467864027324	8.497230068699997	35.752984823657535	4.902593085592535e-10	1.591319534112667e-07	13.8513421907433
Fmo5	5.03627979045884	5.164010463394069	35.73898812939464	4.9177268379617e-10	1.591319534112667e-07	13.767496737488889
Sh3bp5	4.6508378161277095	5.594759651565595	35.593460044231755	5.078232288874857e-10	1.591319534112667e-07	13.793471556615142
Samd9l	4.749962296238008	5.88107359272106	35.59280875237006	5.078963740658604e-10	1.591319534112667e-07	13.817350889681498
Igf2r	8.208390978293853	3.0960768819006383	34.48758780908547	6.510054962370027e-10	1.9756113463330355e-07	12.83238040074011
C5ar1	9.61685553100788	4.103225919811433	34.31124200456915	6.778002010062234e-10	1.9756113463330355e-07	13.244608867201306
Slc2a3	4.377428902441298	6.517623793421294	34.295000489214715	6.803297933785861e-10	1.9756113463330355e-07	13.579187520215964
Ncam1	3.6480182022290046	7.463750211850863	33.47259627025309	8.234617969393516e-10	2.3343181319904573e-07	13.403858737036337
Megf9	4.283028954733157	7.6033997390262495	33.25423370427045	8.669605051590186e-10	2.400472505679832e-07	13.354321857459407
Slfn4	5.824529786057536	5.692887621416134	32.856164630225535	9.53078980804407e-10	2.578945078513016e-07	13.235627865675797
Ifnlr1	9.552445295858632	1.946586854254274	32.31910658052866	1.0849392419282133e-09	2.808105785738545e-07	11.85002354334734
Pde2a	3.8555129510222077	7.947538420892352	31.982587633333633	1.177986238449132e-09	2.9840647138245464e-07	13.063060653596787
Anxa1	4.508827896595443	10.406796491763716	31.30704384539253	1.3931857521903626e-09	3.4264585300252893e-07	12.835572910618982
Pi16	3.8671821090494216	6.024863338156511	31.25876704514591	1.410183671856536e-09	3.4264585300252893e-07	12.888075179042936
Gca	5.130544192152692	6.910771484760579	30.93131397961449	1.5318332502851203e-09	3.6476013355789285e-07	12.822677261926387
C3	4.0375075575325985	9.715096490246676	30.424830291247414	1.7439727117398991e-09	3.9352158604098944e-07	12.655317025128955
Ets1	4.823889394634925	6.514310135019869	30.37193592105698	1.7679723376723275e-09	3.9352158604098944e-07	12.68356837159424
Mogat2	4.913096321706492	5.770465538708427	30.26448137187976	1.8178806679199075e-09	3.9352158604098944e-07	12.639607075349652
Id2	6.0020220036544085	5.244441197793323	30.121141969398796	1.8869426711694053e-09	3.97407514656503e-07	12.574919140740338
Cldn1	12.08018562702993	1.6930237784764581	30.089487029341985	1.902589310887004e-09	3.97407514656503e-07	11.348764940545234
Mapk13	6.258037068510273	4.505037712087221	29.940470699486614	1.9782351252923886e-09	4.0402690180031885e-07	12.442650357179502
Slfn2	3.812146822087861	6.923190636467009	29.894692220983984	2.0021491018157916e-09	4.0402690180031885e-07	12.566305051421839
Mxd1	4.985511444368115	7.027480286208202	29.729477184558906	2.0912006421267537e-09	4.149639140860188e-07	12.524426971497347
Wipi1	3.7661346291768054	5.43022205193833	29.536122561642426	2.2011297042901228e-09	4.2961721736521643e-07	12.443399503067017
Sqrdl	3.551013917499639	6.9838628631405655	29.14502116873706	2.4439501815161588e-09	4.69317271953732e-07	12.373779139624869
Actn1	4.943364403886717	3.7596033411733765	28.630400162917482	2.810701342450097e-09	5.261901659875289e-07	11.978868242477589
Cybb	5.272059165611786	9.955997460680399	28.60737273274927	2.8285041679154917e-09	5.261901659875289e-07	12.196796351188683
Lilrb4a	5.877164736738415	4.971669233937747	28.349548715254468	3.036740259636478e-09	5.562373774035678e-07	12.110921275936475
Plaur	3.881818000612122	6.765548072291342	28.028588300788503	3.320479061451188e-09	5.989942985702704e-07	12.074956411963445
Cnn2	3.334044139059574	9.078577321765104	27.707492070889113	3.634538549063583e-09	6.212557042112565e-07	11.973808367902041
Chil1	12.34245725783262	4.301799993530072	27.689980827947608	3.65260366998051e-09	6.212557042112565e-07	11.863327105773678
Vcl	4.1619643733896154	7.224036914419873	27.61962894876522	3.7262060832293185e-09	6.248480229144827e-07	11.961896981105843
Slc35d2	4.804568278131489	3.8537496765805184	27.399376885612963	3.967648339133641e-09	6.560947378572935e-07	11.707292232329143
6430548M08Rik	8.240736069294302	4.374819257125099	27.297229936639805	4.085560375019394e-09	6.663381071915193e-07	11.772676364898555
Hsd11b1	3.956316506342242	7.119004970179207	27.06818726484436	4.364561527590739e-09	7.022225614526397e-07	11.806228848850328
Pilrb2	6.004264731025486	4.326013472461829	26.94894182927088	4.518260095224319e-09	7.172587292498765e-07	11.674553991464517
Ptgs1	3.221424591167616	7.424218985749074	26.78872726283284	4.734443124858628e-09	7.330555620229795e-07	11.725538576724999
